ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2015_1_4_0,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 00:00,16,UYMVD_E5,576179378,6138373493,Tres Cruces 2
2,UYMVD_2015_1_4_1,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 01:00,11,UYMVD_E5,576179378,6138373493,Tres Cruces 2
3,UYMVD_2015_1_4_2,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 02:00,11,UYMVD_E5,576179378,6138373493,Tres Cruces 2
4,UYMVD_2015_1_4_3,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 03:00,7,UYMVD_E5,576179378,6138373493,Tres Cruces 2
5,UYMVD_2015_1_4_4,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 04:00,12,UYMVD_E5,576179378,6138373493,Tres Cruces 2
6,UYMVD_2015_1_4_5,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 05:00,18,UYMVD_E5,576179378,6138373493,Tres Cruces 2
7,UYMVD_2015_1_4_6,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 06:00,16,UYMVD_E5,576179378,6138373493,Tres Cruces 2
8,UYMVD_2015_1_4_7,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 07:00,22,UYMVD_E5,576179378,6138373493,Tres Cruces 2
9,UYMVD_2015_1_4_8,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 08:00,16,UYMVD_E5,576179378,6138373493,Tres Cruces 2
10,UYMVD_2015_1_4_9,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 09:00,13,UYMVD_E5,576179378,6138373493,Tres Cruces 2
11,UYMVD_2015_1_4_10,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 10:00,11,UYMVD_E5,576179378,6138373493,Tres Cruces 2
12,UYMVD_2015_1_4_11,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 11:00,17,UYMVD_E5,576179378,6138373493,Tres Cruces 2
13,UYMVD_2015_1_4_12,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 12:00,13,UYMVD_E5,576179378,6138373493,Tres Cruces 2
14,UYMVD_2015_1_4_13,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 13:00,12,UYMVD_E5,576179378,6138373493,Tres Cruces 2
15,UYMVD_2015_1_4_14,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 14:00,10,UYMVD_E5,576179378,6138373493,Tres Cruces 2
16,UYMVD_2015_1_4_15,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 15:00,12,UYMVD_E5,576179378,6138373493,Tres Cruces 2
17,UYMVD_2015_1_4_16,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 16:00,17,UYMVD_E5,576179378,6138373493,Tres Cruces 2
18,UYMVD_2015_1_4_17,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 17:00,28,UYMVD_E5,576179378,6138373493,Tres Cruces 2
19,UYMVD_2015_1_4_18,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 18:00,27,UYMVD_E5,576179378,6138373493,Tres Cruces 2
20,UYMVD_2015_1_4_19,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 19:00,32,UYMVD_E5,576179378,6138373493,Tres Cruces 2
21,UYMVD_2015_1_4_20,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 20:00,40,UYMVD_E5,576179378,6138373493,Tres Cruces 2
22,UYMVD_2015_1_4_21,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 21:00,34,UYMVD_E5,576179378,6138373493,Tres Cruces 2
23,UYMVD_2015_1_4_22,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 22:00,33,UYMVD_E5,576179378,6138373493,Tres Cruces 2
24,UYMVD_2015_1_4_23,UYMVD_NO2_2,1,NO2,ug/m3,04/01/15 23:00,32,UYMVD_E5,576179378,6138373493,Tres Cruces 2
25,UYMVD_2015_1_5_0,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 00:00,24,UYMVD_E5,576179378,6138373493,Tres Cruces 2
26,UYMVD_2015_1_5_1,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 01:00,16,UYMVD_E5,576179378,6138373493,Tres Cruces 2
27,UYMVD_2015_1_5_2,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 02:00,12,UYMVD_E5,576179378,6138373493,Tres Cruces 2
28,UYMVD_2015_1_5_3,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 03:00,10,UYMVD_E5,576179378,6138373493,Tres Cruces 2
29,UYMVD_2015_1_5_4,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 04:00,28,UYMVD_E5,576179378,6138373493,Tres Cruces 2
30,UYMVD_2015_1_5_5,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 05:00,33,UYMVD_E5,576179378,6138373493,Tres Cruces 2
31,UYMVD_2015_1_5_6,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 06:00,41,UYMVD_E5,576179378,6138373493,Tres Cruces 2
32,UYMVD_2015_1_5_7,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 07:00,33,UYMVD_E5,576179378,6138373493,Tres Cruces 2
33,UYMVD_2015_1_5_8,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 08:00,37,UYMVD_E5,576179378,6138373493,Tres Cruces 2
34,UYMVD_2015_1_5_9,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 09:00,32,UYMVD_E5,576179378,6138373493,Tres Cruces 2
35,UYMVD_2015_1_5_10,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 10:00,25,UYMVD_E5,576179378,6138373493,Tres Cruces 2
36,UYMVD_2015_1_5_11,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 11:00,32,UYMVD_E5,576179378,6138373493,Tres Cruces 2
37,UYMVD_2015_1_5_12,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 12:00,20,UYMVD_E5,576179378,6138373493,Tres Cruces 2
38,UYMVD_2015_1_5_13,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 13:00,27,UYMVD_E5,576179378,6138373493,Tres Cruces 2
39,UYMVD_2015_1_5_14,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 14:00,41,UYMVD_E5,576179378,6138373493,Tres Cruces 2
40,UYMVD_2015_1_5_15,UYMVD_NO2_2,1,NO2,ug/m3,05/01/15 15:00,63,UYMVD_E5,576179378,6138373493,Tres Cruces 2
